"할말이 없어,",,There's nothing to tell.
그냥 같이 일하는 남자라구,,It's just some guy I work with.
,,
뭔소리야! 그 남자랑 데이트 하려는 거잖아.,,Come on~ You're going out with the guy.
,,
뭔가 문제가 있는 남자구만.,,There's gotta be something wrong with him.
,,
"이봐, 조이. 좋게 보자고",,"All right, Joey. Be nice."
,,
그래서 그 남자 배불뚝이에 가발 쓴다고?,,So does he have a hump and a hairpiece?
,,
"잠깐, 그 남자 분필 먹지?",,"Wait, does he eat chalk?"
,,
나처럼 칼 같은 남자 만나서 고생할까봐,,Just cuzz I don't want her to go through what I did with Carl.
,,
"제발, 다들 진정해 응?.",,"Okay, everybody relax."
이건 절대 데이트가 아니거든.,,Relax! This is not even a date.
이..이건..,,It...it's not!!
그냥 밖에서 저녁만 먹는거야 섹스는 안 한다고.,,It's just two people going out to dinner and not having sex.
,,
나한텐 데이트로 들리는데?,,Sounds like a date to me.
,,
"내가 고등학교로 돌아 왔는데,",,"Alright, So,I'm back in the high school,"
식당 중앙에 서있는거야.,,I'm standing in the middle of the cafeteria...
,,
근데 내가 완전,,and I realize l'm totally
알몸인거야,,naked!
,,
아 나도 그런 꿈 꾼적 있어,,"Oh yeah, I've had that dream."
,,
그리고 아래를 보니,,Then I look down and I realize
"""그곳에"" 전화기가 있는 거야.",,there is a phone...
,,
거기에,,There
,,
거시..,,-lnstead of--
그래 거기!,,-That's right!
,,
난 그런 꿈은 아니었어,,Never had that dream
,,
갑자기 전화기가 울리기 시작하는데,,"All of a sudden, the phone starts to ring."
,,
어찌해야 될지를 모르겠더라.,,Now I don't know What to do.
모두가 날 쳐다 보는데,,Everybody starts looking at me.
,,
울리기 전엔 널 안 쳐다 보디?,,They weren't looking at you before?
,,
"결국, 전화를 받는게 낫겠다 싶어 받았지",,"Finally, I figure I'd better answer it."
,,
우리엄마더구만.,,And it turns out it's my mother.
,,
근데 진짜 말이 안되는게,,"Which is very, very weird"
엄만 절대 나한테 전화 안 하거든.,,because she never calls me.
,,
안녕,,Hi.
,,
"저 자식이 ""안녕"" 하면",,"This guy says "" Hello, """
나까지 자살 하고 싶어져,,I want to kill myself.
,,
오빠 괜찮아?,,"You okay, Sweet?"
,,
지금 심정이 누가 내머릴 바닥에 쳐박아 창자를 목구멍으로 끄집어내서 그걸로 목을 조르는 것 같아,,I feel just like someone reached down my throat and dragged my small intestine pulled it out of my mouth and tied it around my neck. 
쿠키 먹을래?,,Cookie?
,,
캐롤이 오늘 자기 짐을 뺐데,,Carol moved her stuff out today.
,,
-커피 좀 타 줄께,,-Let me get you some coffee.
-고마워,,-Thanks.
,,
안되! 하지마!,,"No, don't!"
내 기운을 없애지 말라고,,Stop cleansing my aura.
,,
"그냥 좀 내버려둬, 응?!",,"-Just leave my aura alone, okay?"
"그래, 그냥 우울해라",,"-Fine, be murky."
,,
-난 괜찮아! 정말이야! ,,-I'll be fine. Really everyone!
그녀가 행복하길 바래,,I hope she'll be happy.
"-에이, 아니잖아",,"-No, you don't."
,,
"당근이지,망할년, 날 버리다니!",,"No,I don't. To hell with her. She left me!"
,,
진짜 레즈비언인걸 몰랐단 말야?,,You never knew she was a lesbian?
,,
몰랐다! 됐냐?,,No! Okay?
,,
왜 다들 거기에 집착하지?,,Why does everyone keep fixating on that?
,,
그 여자 자신도 몰랐다는데,,She didn't know.
내가 어떻게 알았겠어?,,How should I know?
,,
가끔 나도 내가 레즈비언이었음 좋겠어,,Sometimes I wish I was a lesbian.
,,
목소리가 너무 컸나?,,Did I say that out loud?
,,
어젯밤 엄마아빠한테 말했는데,,I told Mom and Dad last night.
다행히 잘 이해해주더라,,They seemed to take it pretty well.
,,
"오, 정말?",,"Oh, really?"
,,
그럼 새벽 3시에 나한테 신경질 내며 울면서,,So that hysterical phone call I got from a woman sobbing at 3:00 a.m
,,
"""손자보긴 글렀구나,글렀어""라고",,""" I'll never have grandchildren, """
한 여자는누구지? 잘 못 온 건가?,,was what? A wrong number?
,,
미안,,Sorry.
,,
"좋아 로스. 봐봐, 너 지금 아주 힘들잖아.",,"Alright Ross, Look, you' re feeling a lot of pain right now."
,,
화도 나고,,You're angry.
상처도 입었지,,You're hurting.
,,
이럴땐 뭐가 답인지 가르쳐 줄까?,,Can I tell you what the answer is?
,,
스트립바에 가는 거야!!,,Strip joints!
,,
이봐! 이젠 솔로 잖아!,,"Come on, you're single."
가서 호르몬좀 만들어야지!,,Have some hormones!
,,
난 싱글이기 싫거든?,,"But I don't want to be single, okay?"
,,
나...난 그냥 다시 결혼하고 싶다고!,,I just...I just wanna be married again!
,,
난 그냥 백만달러를 원 할 뿐이고!,,And I just want a million dollars!
,,
-레이첼?,,-Rachel?
-세상에! 모니카! 하느님 감사합니다!,,-Oh~God! Monica! hi! Thank God!
,,
막 너희집에 갔었는데,,I just went to your building...
니가 없더라고,,And you weren't there and then
,,
"망치 든 남자가 너 여기 있을지도 모른다고 했는데, 찾았네! 여기있구나!",,"and this guy wiht a big hammer said you might be here and you are, you are!"
,,
-커피 좀 드릴까요?,,-Can I get you some coffee?
- 카페인 없는 걸로요.,,-Decaf.
,,
저기? 얜 레이첼이라고,,"Everybody, this is Rachel,"
링컨 고교의 또 다른 생존자야,,another Lincoln High survivor.
,,
"다 내 친구야,",,This is everybody.
"여긴 첸들러,피비,",,Chandler and Phoebe...
,,
얘는 조이 그리고 우리오빠 기억하지?,,"and Joey, You remember my brother, Ross?"
,,
당연하지! 안녕하세요,,Sure! Hi! 
-안녕,,Hi!
,,
지금 이야길 할거야?,,"So you wanna tell us now,"
아님 하객들이 올때 까지 기다릴래?,,or are we waiting for four wet bridesmaids?
,,
하느님! 좋아. 결혼식 30분전쯤에,,"Oh god! Well, it started about a half-hour before the wedding."
,,
선물을 모아논 방에 있었는데,,I was in the room where we were keeping all the presents
,,
그레이비 그릇을 보고 있었지.,,and I was looking at this gravy boat.
멋진 명품 리모주 그릇이었어.,,This really gorgeous Limoges gravy boat.
,,
그걸 보니 갑자기...,,When all of a sudden--
,,
스윗앤로우 좀?,,Sweet ' N Low?
갑자기 깨달았어,,I realized
내가 신랑 보다 그릇에 더 빠져 들고 있다는 것을 말야,,I realized I was more turned on by this gravy boat than Barry.
,,
그리곤 뭔가가 생각이 났는데,,And then I got really freaked out
그게 너무 무서웠어.,,And that's when it hit me
,,
배리가 병신 같은 사람과 닮았다는 것이..,,How much Barry looks like Mr. Potato Head.
,,
내말은..배리가 항상 낮익다고는 생각했었는데..,,"I mean..I always knew he looked familiar, but...."
,,
어쨋든..거길 빠져나오고,,"Anyway..I just had to get out of there,"
고민을 하기 시작했어,,and I started wondering...
,,
"내가 왜 이짓을 하려고 하는지,",,"""Why am I doing this and"
누구를 위해 이짓을 하는지 말야,,"Who am I doing it for?"""
,,
근데 어디로 가야될지 몰라서..,,"So anyway,I just didn't know where to go,"
우리 사이가 예전같지 않다는거 알지만,,"And I know that you and I have kinda drifted apart,"
이 도시에서 내가 아는 사람은 너 뿐인걸,,but you' re the only person I knew who lived here in the city.
,,
-결혼식에 초대도 안 한 사람인데?,,-Who wasn't invited to the wedding.
-그 말을 안 꺼내길 빌었는데,,"-Oh,I was kinda hoping that wouldn't be an issue."
,,
